BCNN_VGG16:
---Makename----:
Class 0 :        ABT         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class 1 :        BAC         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class 2 :      Conquest      , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class 3 :         DS         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class 4 :       Dacia        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class 5 :       Fisker       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class 6 :        GMC         , TP:  1   , TP+FP:  3   , TP+FN:  1   , Precision:0.3333, Recall:1.0000
Class 7 :      Gumpert       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class 8 :     Hennessey      , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class 9 :       Icona        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class10 :        Jeep        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class11 :        KTM         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class12 :       MELKUS       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class13 :         MG         , TP:  24  , TP+FP:  33  , TP+FN:  26  , Precision:0.7273, Recall:0.9231
Class14 :        MINI        , TP:  72  , TP+FP:  76  , TP+FN:  73  , Precision:0.9474, Recall:0.9863
Class15 :      Mazzanti      , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class16 :       Noble        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class17 :        PGO         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class18 :       SPIRRA       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class19 :        SSC         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
